mu,score,cross-score,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
0.67,0.8797476867567361,nan,0.007817182997998273,0.007738668965484696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.8835717234658071,nan,0.007824523781989168,0.007957784952271507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.69,0.8896482794274558,nan,0.007831973847340135,0.008052698526480162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.8568471117141657,nan,0.00784797128130521,0.007479603723807404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.71,0.8503025756800848,nan,0.007850086669998202,0.007797872328081046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.8908577416341976,nan,0.007862037904550867,0.007648382581386892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.73,0.9233146368266321,nan,0.007864669633011245,0.00774997768982244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.9176566647228142,nan,0.007870800138825018,0.007455592968763969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.913306559357429,nan,0.00786798229470198,0.00768358915236611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.9028111477865239,nan,0.007886616839864469,0.007341539410706699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.77,0.8712437535553033,nan,0.007885557833054557,0.0073838722725372286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.8992572694721089,nan,0.007891991934023901,0.007799787649141576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0.9219201396488323,nan,0.00789619720635204,0.007718858880028323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.8830059407071148,nan,0.007908527152769906,0.008012989350514754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.81,0.8491380212455114,nan,0.007918393785206201,0.0076571205369536655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82,0.9161779716742773,nan,0.007917679283431345,0.007671658724884511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.83,0.8880257339109381,nan,0.007916312170833328,0.00804469586254819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.8687853250319854,nan,0.007918748907948525,0.00773324075323778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.9073049707089801,nan,0.007927510901161505,0.0076164760542449805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.8867440176714054,nan,0.007940575984892173,0.007235887850771894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.87,0.8999725502900228,nan,0.007935131926419814,0.00793331087010074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.9028009436618866,nan,0.007944413306103293,0.00762900072728212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.89,0.8957324112015055,nan,0.007948768172171494,0.007892996978500433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.9055998750782165,nan,0.007949062414482344,0.007827786997545716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.9084901229868007,nan,0.007959994255124725,0.007573285865225987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.9147127374863736,nan,0.00796143766920665,0.007798497869172527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.93,0.9136867184777491,nan,0.007966730660561083,0.007537415951283322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.94,0.8922354524378218,nan,0.007966702622155597,0.007690169092043564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.8870112344279915,nan,0.007965317176152231,0.007954001673954214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.9042350300706777,nan,0.007976968627204095,0.007479451693958694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97,0.8903074328244325,nan,0.007979380666034763,0.007697765357339459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.8964309534276549,nan,0.007984031733638153,0.007594011629763808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0.8930495066632584,nan,0.00798735562429953,0.007577132252727159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.8963085581585365,nan,0.007990761606361696,0.007608083652962727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
