2,3,True,False
18,88,0,14
20,89,1,3
17,83,0,5
6,19,0,0
26,156,0,0
21,94,0,5
27,156,0,0
12,66,78,6242
18,82,1,5
17,81,1,18
19,93,1,19
14,67,8,220
18,84,1,9
16,71,0,6
19,82,2,5
18,81,1,38
13,66,21,1257
26,144,0,7
15,69,1,57
27,144,0,0
20,82,0,3
16,70,1,15
19,81,0,15
25,144,0,10
15,81,0,6
28,145,0,0
19,102,0,0
26,157,0,1
18,76,0,32
29,158,0,0
18,102,0,1
19,103,0,1
20,104,0,1
8,1,19,382
25,120,0,2
-4,-6,0,0
1,6,0,0
21,100,0,4
22,104,0,0
21,104,0,2
22,119,2,21
24,120,0,1
16,66,1,21
18,68,0,5
6,0,63,1664
19,83,0,18
21,84,0,3
17,67,0,15
-3,-2,0,0
0,4,0,0
19,71,0,3
17,70,1,35
20,71,0,5
18,70,0,14
19,70,0,3
-2,1,0,0
9,23,3,94
-1,-3,0,0
21,106,0,16
20,106,0,11
4,11,0,0
22,112,0,6
12,90,0,0
10,23,5,96
21,112,0,21
19,92,1,8
23,112,0,3
-1,2,0,0
10,22,13,456
23,141,0,9
25,141,1,3
24,135,0,1
21,127,0,1
21,123,0,4
18,126,0,0
10,13,14,220
25,136,0,2
22,135,0,4
24,136,0,7
13,24,3,31
20,136,0,8
14,24,1,17
23,151,0,2
25,152,0,0
20,142,0,3
21,142,0,6
11,16,8,194
10,14,10,161
1,-5,0,0
12,14,0,42
8,19,8,91
13,14,2,16
23,143,0,1
22,142,0,3
11,7,0,71
24,151,0,4
16,136,0,0
23,142,0,2
22,143,0,0
19,139,0,4
0,-3,0,0
20,97,0,5
12,8,10,34
23,120,1,1
10,5,4,121
11,30,2,81
23,119,0,14
15,94,0,3
3,8,0,0
21,119,0,1
9,4,18,379
10,6,6,124
13,104,0,0
23,133,0,0
22,133,1,0
7,27,0,0
18,111,0,0
8,3,29,780
5,18,0,0
18,105,0,15
14,105,0,0
9,45,0,0
25,150,0,1
8,44,0,0
21,115,0,4
11,10,8,83
22,126,0,6
26,151,0,0
24,150,0,1
16,67,1,26
19,87,0,16
21,111,0,0
15,67,3,97
14,66,9,257
17,71,0,4
16,72,2,45
27,158,0,1
13,67,1,35
12,67,0,0
25,157,0,3
11,66,0,0
11,65,0,0
15,66,2,63
15,68,0,13
16,78,2,41
17,84,0,4
26,169,0,4
16,80,0,16
17,80,0,13
15,31,2,14
11,25,10,241
4,14,0,0
13,77,0,1
9,29,3,128
3,17,0,0
4,18,0,0
27,169,0,6
4,17,0,0
28,169,0,0
18,80,0,8
23,123,0,7
31,211,0,0
